"","add0","name","s_ratio","g_ratio","c_ratio","p_ratio","final_score","favr"
"82","가평군","유명계곡",0.005100858,0.009693053,0.051886792,0.063829787,60,2
"83","가평군","안골계곡",0.017737074,0.033117932,0.070754717,0.034042553,60,2
"84","가평군","청평계곡",0.019765824,0.012924071,0.141509434,0.056737589,60,2
"85","가평군","현등사계곡",0.000463714,0.019386107,0.04245283,0.063829787,60,2
"86","가평군","고동산계곡",0.000463714,0.01453958,0.141509434,0.063829787,60,2
"87","가평군","장재울계곡",0.000115929,0.001615509,0,0.008510638,60,2
"88","홍천","살둔계곡",0.004075304,0.042780749,0,0.163265306,60,2
"89","완주군","운장산계곡",0.020786598,0.031914894,0,0.2,60,2
"90","공주시","갑사계곡",0.063985288,0.072727273,0.105769231,0.125,60,2
"91","공주시","상신계곡",0.015646395,0.050909091,0.028846154,0.125,60,2
"92","영월","이끼계곡",0.028594867,0.205417607,0.071428571,0,63,2
"93","산청","오봉계곡",0.040802213,0.080808081,0,0.060150376,69,2
"94","울주군","내원암계곡",0.003565062,0.128146453,0.164835165,0.038461538,82,2
"95","가평군","조무락계곡",0.008115001,0.064620355,0.004716981,0.059574468,85,2
"96","영월","연하계곡",0.013125513,0.133182844,0.071428571,0.025974026,111,2
"97","인제","십이선녀탕",0.049591599,0.123028391,0.092592593,0.027027027,153,2
