"","add0","add1","add2","add3","mwqg"
"1163","화성시","매송면","시화호유입전",NA,4
"1164","화성시","매송면","원리","357-3",3.25
"1165","화성시","석우동",NA,NA,4
"1166","화성시","송산동","","송산교",5.33333333333333
"1167","화성시","안녕동","","세마교",5.5
"1168","화성시","양감면","","수직교",5.75
"1169","화성시","양감면","용소리","황구지교",5.88
"1170","화순군","남면","사평리","합수목다리",1
"1171","화순군","능주면","남정리","능주교",3.66666666666667
"1172","화순군","도곡면","신성리","신성교",3.85714285714286
"1173","화순군","도곡면","죽청리","죽청교",3
"1174","화순군","동복면","연둔리","세월교",2.33333333333333
"1175","화순군","동복면","연월리","댐앞",2.5
"1176","화순군","북면","맹리","맹리교",1.875
"1177","화순군","이서면","월산리",NA,2.75
"1178","화순군","이서면","창랑리","신기교",2.27272727272727
"1179","화천군","간동면","구만리","댐앞",2
"1180","화천군","간동면","구만리(구만교)","구만교",1.57142857142857
"1181","화천군","간동면","방천리","구봉산앞",3
"1182","화천군","화천읍","동촌리","두류봉앞",2.8
"1183","횡성군","갑천면","구방리","구방교",7
"1184","횡성군","갑천면","대관대리","댐축지점",2.625
"1185","횡성군","갑천면","부동리","댐중앙지점",2.5
"1186","횡성군","갑천면","율동리","잠수교",3
"1187","횡성군","갑천면","전촌리","전촌교",1.5
"1188","횡성군","갑천면","포동리","계천유입부",3
"1189","횡성군","공근면","수백리","수백교",4.33333333333333
"1190","횡성군","공근면","오산리","오산교",2
"1191","횡성군","안흥면","안흥리","안흥교",3
"1192","횡성군","청일면","유평리","유평교",1.5
"1193","횡성군","횡성읍","교항리","전천교",2.5
"1194","횡성군","횡성읍","묵계리","성남교",4
