add0,name,search,wqg,bts,tbp,g_count,p_count,cafe_count.5km.,final_score,,s_ratio,g_ratio,c_ratio,p_ratio
가평군,귀목계곡,0.28,2,14.5,47,19,10,0,60,,0.001623,0.015347334,0,0.014184397
가평군,명지계곡유원지,0.21,2,12.2,47,9,30,0,60,,0.00121725,0.00726979,0,0.042553191
가평군,익근리계곡,0.12,2,11.7,45,12,45,0,60,,0.000695572,0.009693053,0,0.063829787
가평군,석룡산계곡유원지,0.01,2,17.3,74,52,45,1,60,,5.79643E-05,0.042003231,0.004716981,0.063829787
가평군,백둔계곡,0.43,2,6.1,29,4,45,1,60,,0.002492465,0.003231018,0.004716981,0.063829787
가평군,현리계곡,1.56,2,5,26,18,45,15,60,,0.00904243,0.01453958,0.070754717,0.063829787
가평군,큰골계곡,0.24,3.07,9.1,48,10,45,30,60,,0.001391143,0.008077544,0.141509434,0.063829787
가평군,유명계곡,0.88,3.07,27.1,148,12,45,11,60,,0.005100858,0.009693053,0.051886792,0.063829787
가평군,안골계곡,3.06,3.07,18.6,94,41,24,15,60,,0.017737074,0.033117932,0.070754717,0.034042553
가평군,청평계곡,3.41,5.07,0.75,2,16,40,30,60,,0.019765824,0.012924071,0.141509434,0.056737589
가평군,현등사계곡,0.08,2,23.1,105,24,45,9,60,,0.000463714,0.019386107,0.04245283,0.063829787
가평군,고동산계곡,0.08,2,13.6,47,18,45,30,60,,0.000463714,0.01453958,0.141509434,0.063829787
가평군,장재울계곡,0.02,2,14.6,66,2,6,0,60,,0.000115929,0.001615509,0,0.008510638
가평군,용소계곡,111.45,2,34.2,138,97,5,0,60,,0.646012057,0.078352181,0,0.007092199
화천,삼일계곡,1.191238,,18.4,139,22,15,1,155,,0.152382948,0.129411765,0.5,0.405405405
화천,만산동계곡,0.436159,,22.9,180,13,15,0,63,,0.05579338,0.076470588,0,0.405405405
화천,비수구미계곡,6.19,,26.4,112,135,7,1,94,,0.791823672,0.794117647,0.5,0.189189189
홍천,살둔계곡,0.482136,,14.3,128,8,8,0,60,,0.004075304,0.042780749,0,0.163265306
홍천,용소계곡,111.4541,,32.4,138,97,15,0,146,,0.942077301,0.518716578,0,0.306122449
홍천,용오름계곡,2.648794,,6.7,48,30,11,0,60,,0.022389205,0.160427807,0,0.224489796
홍천,수타사계곡,3.721716,,10.8,58,52,15,15,60,,0.031458189,0.278074866,1,0.306122449
장수군,토옥동계곡,2.103478,,28.4,138,51,10,4,165,,0.804943056,0.68,1,0.666666667
장수군,지지계곡,0.509723,,19.9,156,24,5,0,114,,0.195056944,0.32,0,0.333333333
완주군,운장산계곡,0.648283,,48,165,6,15,0,60,,0.020786598,0.031914894,0,0.2
완주군,금당리계곡,0.001045,,31.2,183,1,30,0,60,,3.3507E-05,0.005319149,0,0.4
완주군,동상계곡,5.717959,,28,280,71,15,5,76,,0.183341094,0.377659574,0.625,0.2
완주군,운주계곡,24.82026,,27,138,110,15,3,105,,0.795838801,0.585106383,0.375,0.2
서울특별시,우이동계곡,19.22707,,28.3,65,90,2,45,60,,0.502809349,0.103567319,0.25,0.2
서울특별시,백사실계곡,4.875102,,25.4,53,249,3,45,60,,0.127489361,0.286536249,0.25,0.3
서울특별시,진관사계곡,10.51177,,30.3,82,169,0,45,71,,0.274894523,0.19447641,0.25,0
서울특별시,수성동계곡,3.625343,,16.7,49,361,5,45,60,,0.094806767,0.415420023,0.25,0.5
남원시,구룡계곡,1.120807,,14.6,128,70,14,5,60,,0.146102453,0.076086957,0.555555556,0.237288136
남원시,뱀사골계곡,3.581873,,15,50,425,15,2,60,,0.466913958,0.461956522,0.222222222,0.254237288
남원시,달궁계곡,2.968697,,15.7,54,425,30,2,73,,0.386983588,0.461956522,0.222222222,0.508474576
공주시,동학사계곡,10.16965,,10.2,62,227,45,45,60,,0.83029392,0.825454545,0.432692308,0.375
공주시,갑사계곡,0.783708,,18.7,82,20,15,11,60,,0.063985288,0.072727273,0.105769231,0.125
공주시,동월계곡,1.103254,,10.5,49,14,45,45,60,,0.090074397,0.050909091,0.432692308,0.375
공주시,상신계곡,0.191641,,12.7,90,14,15,3,60,,0.015646395,0.050909091,0.028846154,0.125
